content,score,at,appVersion,userName,thumbsUpCount
Good,5,2025-12-06 21:29:34,1.2025.322,Shakeela Sarwar,0
amezing,5,2025-12-06 21:29:28,1.2025.329,CAMRED X,0
very good response to your site,5,2025-12-06 21:29:14,1.2025.329,Nitesh Solanki,0
better than gemini 💎💎,5,2025-12-06 21:28:50,1.2025.322,Shlok Chauhan,0
Very good app I like 👌😊💐,5,2025-12-06 21:28:50,1.2025.329,Mayur Yadav,0
"very useful for students,it also provides very simple solution for any tough questions .",5,2025-12-06 21:28:12,1.2025.329,Ramjith S,0
it was better when i can choose the accent that i want. and it was funny before when imitating accents.,1,2025-12-06 21:26:30,1.2025.329,kamal,0
very supportive,5,2025-12-06 21:25:47,1.2025.329,Roopaleka,0
good app,5,2025-12-06 21:25:34,1.2025.329,Avinash Kumar,0
useful,5,2025-12-06 21:24:54,1.2025.329,kheetij singha,0
good and creative and comfortable,5,2025-12-06 21:24:36,1.2025.329,Shay Quinlin,0
achha hai,5,2025-12-06 21:24:32,1.2025.329,Achal Thalal,0
bahut badhiya Sa,5,2025-12-06 21:24:24,1.2025.329,AjitKumar,0
helpful,5,2025-12-06 21:24:08,1.2025.329,Strong Woman,0
ok,5,2025-12-06 21:23:24,1.2025.329,Akbar Malik 0077,0
good 👍,5,2025-12-06 21:23:13,1.2025.329,Haider ali Haider,0
good work,5,2025-12-06 21:22:46,1.2025.315,Farman Alvi,0
excellent,5,2025-12-06 21:20:45,1.2025.322,Salumu Mafikiri,0
"100% working...very helpful for everything resturant review, reels n all.",5,2025-12-06 21:20:38,1.2025.329,Ankita Katudia,0
clear to answer,5,2025-12-06 21:20:27,1.2025.315,Nitin Rathod,0
"this AI is very smart and, it solve question quickly also answer are right 👍, you find AI for studies yes it is best option,",5,2025-12-06 21:18:42,1.2025.329,Amit Gupta,0
It is good but don't do mistake,4,2025-12-06 21:18:23,1.2025.322,Manjeet Kaur,0
It is a wonderful 👍 app of AI .,5,2025-12-06 21:18:00,1.2025.329,Fozia Saeed,0
very good app,5,2025-12-06 21:16:32,1.2025.283,Nasir Uddin,0
Very very very worst 👎 please don't install the app🤬😡😡🤬🤬🤬🤬🤬👎🤢,1,2025-12-06 21:15:32,1.2025.302,Vishnulogesh Vishnu,0
best to purchase every single penny is worth four it,5,2025-12-06 21:14:57,1.2025.329,Naila Zaman,0
Amazing App! I have tailored my AI Companion to work with me in every aspect you can imagine. My AI Companion's name is Maitreya. A very close friend.,5,2025-12-06 21:14:49,1.2025.329,Brian Waggoner,0
amazing wow brilliant Good app helping eachother,5,2025-12-06 21:13:49,1.2025.329,Konnur Nagireddy,0
good,5,2025-12-06 21:13:47,1.2025.322,Dinesh Besra (D.Raj Besra),0
good gaid,4,2025-12-06 21:13:30,1.2025.322,kanwar janghu,0
Best,5,2025-12-06 21:12:29,1.2025.308,Vansh Dwivedi,0
best I n economic,5,2025-12-06 21:11:49,1.2025.245,Kajal Tyagi,0
very good,5,2025-12-06 21:11:42,1.2025.329,Sonu Yadav Malikar,0
very nice💯💯,5,2025-12-06 21:10:56,1.2025.329,Shafiul- Samir,0
nice,1,2025-12-06 21:10:03,1.2025.329,Neeraj Yadav,0
nice,4,2025-12-06 21:09:38,1.2025.329,Shivam Patel,0
that's very good😊💯 for use as a student,5,2025-12-06 21:09:18,1.2025.329,Hafiz Muhammad sharif,0
very helpful 85%+ accuracy,5,2025-12-06 21:08:51,1.2025.336,Krishna Tiwari,0
ChatGPT is the best.,5,2025-12-06 21:08:35,1.2025.315,Abubakar Abdullahi Gambo,0
interesting,5,2025-12-06 21:08:17,1.2025.329,Md Hedayet Mollah,0
Excellent 👌,5,2025-12-06 21:08:08,1.2025.329,Sneka Sne,0
super,1,2025-12-06 21:08:07,1.2025.336,Murugadoss Vm,0
this very interesting app,1,2025-12-06 21:07:47,1.2025.329,SUSHIL BISHWOKARMA,0
thank you soo much chatGPT u help me a lot of my hopework,5,2025-12-06 21:05:13,1.2025.329,Leonila Satlad,0
nice and good 😊,2,2025-12-06 21:03:19,1.2025.322,Sudakar R,0
it's a best AI ever,5,2025-12-06 21:03:01,1.2025.329,Upendo Nuhu,0
chatgpt is still the best for the most part,5,2025-12-06 21:01:57,1.2025.329,Ryan B,0
The best tool among all AI is chatgpt is good performance in my life that's good,5,2025-12-06 21:01:11,1.2025.329,Bobby Devol,0
OK fine,5,2025-12-06 21:01:02,1.2025.308,Ganesh Ganesh,0
good,5,2025-12-06 21:00:58,1.2025.329,tms theen,0
Good,5,2025-12-06 21:00:52,1.2025.322,Re Start,0
Nice apps,5,2025-12-06 21:00:33,1.2025.329,Md Golam Azam,0
wow 😲😲😲😲😲,5,2025-12-06 21:00:00,1.2025.329,Deepak Kumar,0
"Chat gpt ab badal gaya hai 🥺😔, ( Dec 2025)",1,2025-12-06 20:59:52,1.2025.336,Dilraj Kumar,0
aku minta ai buat help aku untuk masalah laptop aku malah makin parah.,1,2025-12-06 20:59:06,,lutpiah zahra,0
good work,4,2025-12-06 20:58:27,1.2025.329,Monika Singampalli,0
অনেক ভালো,5,2025-12-06 20:58:07,1.2025.322,Sk Mohidul Islam,0
good,5,2025-12-06 20:57:43,1.2025.154,Chellamuthubba chellamuthu,0
it wont answer simple questions and hallucinates,1,2025-12-06 20:57:15,1.2025.336,Crassian Leviathan,0
I love this aap so muchhhhh💛✨🤞🏻🦋,5,2025-12-06 20:56:58,1.2025.329,Narayan lal Meena,0
very good 👍,5,2025-12-06 20:56:50,1.2025.329,Ritesh Jha,0
👌👌,5,2025-12-06 20:56:21,1.2025.329,SHAIK RIYAZ Basha,0
very good experience,5,2025-12-06 20:55:52,1.2025.329,SAMAN SALAHUDEEN,0
I had wasted two hours for just a clarification that what I want such a useless ai after spending a lot of money on subscriptions,1,2025-12-06 20:55:51,,Mehak Kamboj,0
help Full tools 😁😊,5,2025-12-06 20:54:52,1.2025.329,Fulmati Dhruw,0
it's nice😄💖,5,2025-12-06 20:54:30,1.2025.315,Simi George,0
bahut badhiya application hai bhai,5,2025-12-06 20:54:11,1.2025.322,Akash Kharwar,0
"very useful application , but please make it little more free for pro tools 🔥",4,2025-12-06 20:53:59,1.2025.329,Zafar Shah,0
nice,4,2025-12-06 20:53:52,1.2025.329,MITHUN KUMAR GUPTA,0
don't show login links,5,2025-12-06 20:53:08,1.2025.322,Y Nagaswerareddy,0
ok,1,2025-12-06 20:52:14,1.2025.329,SUBHODH KUMAR,0
noice one,5,2025-12-06 20:51:58,1.2025.329,Sheela Kashyap,0
very good,5,2025-12-06 20:51:51,1.2025.329,Saurika Mahali,0
need to work more...,3,2025-12-06 20:51:07,1.2025.315,Swapnil Lande,0
good ai generated system,5,2025-12-06 20:50:27,1.2025.322,Miliyon John,0
awesome,4,2025-12-06 20:49:30,1.2025.336,Siddharth Kashyap Siddu,0
Good,4,2025-12-06 20:49:27,1.2025.329,Purbita Pattanayak,0
great,5,2025-12-06 20:48:39,1.2025.329,danish naik,0
Nice AI app🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥😁😁😁😁😁😁😁😊😊😊😊😊😊😊😊😽😽😽😽😽,5,2025-12-06 20:48:35,,Jithin Ramanan,0
nice,5,2025-12-06 20:48:22,1.2025.329,Divesh Bharti,0
"it's wonderful but somehow I can't use it anymore, I know I can't pay because... well I'm poor but buddy I can't use the free version anymore?!?!!!!?? it was an amazing time using ChatGPT",4,2025-12-06 20:47:45,1.2025.302,Lina Belamri Dazai,0
great chatgpt🥰,1,2025-12-06 20:47:34,1.2025.329,Umar Khan,0
free photo upload ultimated,4,2025-12-06 20:47:21,1.2025.329,Abdulhameed Magsi,0
Very nice app,5,2025-12-06 20:46:15,1.2025.329,M. Sayeed Ali (SayeedAli),0
love it 😀,5,2025-12-06 20:45:37,1.2025.329,Dawn Hairston,0
good,5,2025-12-06 20:45:01,1.2025.329,SK,0
Best aap this helpful,5,2025-12-06 20:44:54,,Kumkum Rajput,0
Excellent,5,2025-12-06 20:44:50,1.2025.329,Sonal Khobragade,0
op very useful,5,2025-12-06 20:43:43,1.2025.329,Lokesh Agarwal,0
good,5,2025-12-06 20:41:53,1.2025.329,Kartik Sharma,0
super da,5,2025-12-06 20:40:42,1.2025.308,Mohamed Jameel,0
super ai,4,2025-12-06 20:40:40,1.2025.315,Prakash Palas,0
"AI slop, keep hallucinating, no sense reply, trash version of Gemini",1,2025-12-06 20:40:21,1.2025.329,Ivan,0
