content,score,at,appVersion,userName,thumbsUpCount
the best,5,2025-12-09 23:51:04,1.2025.329,tech hassanzai,0
عالیههههه,5,2025-12-09 23:50:41,1.2025.336,Amin Ziya,0
in last two months I encountered several bugs,1,2025-12-09 23:50:40,1.2025.336,Elia De Tomasi,0
whe I opened it say null,1,2025-12-09 23:49:31,1.2025.336,amos nyongesa,0
super,5,2025-12-09 23:48:56,1.2025.336,suresh A,0
I love this invitation superb,5,2025-12-09 23:47:44,1.2025.336,Olabode Gbenga,0
godd,5,2025-12-09 23:47:24,1.2025.336,Sushi Upadhyay,0
its a very good app I love it,5,2025-12-09 23:47:19,1.2025.329,quadri Dc,0
really helpful but sometimes it gives wrong information so please check it,5,2025-12-09 23:47:01,1.2025.336,Photographer on wheel,0
amazing,1,2025-12-09 23:46:51,1.2025.329,Aqsa Majeed,0
verry nice,5,2025-12-09 23:46:45,1.2025.336,Aashu Negi,0
chat GPT always giving me the answer and the advice I want,5,2025-12-09 23:46:36,1.2025.329,Fasasi Fatimo,0
thank you,5,2025-12-09 23:45:21,1.2025.336,Marjina Ansari,0
I like the app but unfortunately is not logging in or sign up after I installed it what can I do 😭,5,2025-12-09 23:45:11,1.2025.294,Ruth Kalondu,0
"Great model but the app itself it pathetic. Did you know that chat gpt can't even povide it's own tutorial, like you ask how to set something and it doesn't work? Also, many settings are only available from browser, such as logging out from other devices. Then why the app? Plus, if you want to use it from the browser, it forces you to use the app. Cmon, do better",2,2025-12-09 23:45:03,1.2025.329,Peter Vass,0
This is good choice for learning anything.,3,2025-12-09 23:44:58,1.2025.336,Pritam Kumar Das,0
"great app , I really appreciate",5,2025-12-09 23:43:50,1.2025.329,cyrille geraud fotsing fongang,0
the World Best App keep learning with new generation and AI,5,2025-12-09 23:43:21,1.2025.336,faizan khan,0
So helpful in all areas of my life,5,2025-12-09 23:41:26,1.2025.329,Dominique B,0
Best help,5,2025-12-09 23:40:41,1.2025.329,Vakeel Gurjar,0
it's useful and I'm greatful for it helps in my studies,5,2025-12-09 23:40:08,1.2025.322,Edwin Cabusog,0
ok,5,2025-12-09 23:39:27,1.2025.336,Shamas javaid,0
super good,5,2025-12-09 23:39:04,1.2025.336,Shams Khan,0
Make the rest of the facilities free.,5,2025-12-09 23:38:19,1.2025.336,Akshay Jadhav,0
best Ai ever,5,2025-12-09 23:37:54,1.2025.336,The Pacemaker,0
Harika,5,2025-12-09 23:37:50,1.2025.329,zahra Babalu,0
helpul,3,2025-12-09 23:37:14,1.2025.315,Aryan Hembrom,0
very useful app ⭐⭐⭐⭐⭐,5,2025-12-09 23:36:44,1.2025.336,Mohammed Sami,0
best,5,2025-12-09 23:36:05,1.2025.315,Lily Begum,0
awesome 🤗,5,2025-12-09 23:33:29,1.2025.336,Lil Juicy,0
amazing 😍,5,2025-12-09 23:31:53,1.2025.329,Ashok Pawar,0
perfect! 💛,5,2025-12-09 23:30:44,1.2025.336,Zahra Khalili,0
fabulous app,5,2025-12-09 23:30:22,1.2025.336,Mayuri Thakar - Ubhe,0
no pictures why 😡,2,2025-12-09 23:30:16,1.2025.302,Precious Victor,0
Exellent,5,2025-12-09 23:29:15,1.2025.336,Elnaz Shahrokhi,0
good luck discovering this,5,2025-12-09 23:29:06,1.2025.336,Ayomide Hadi,0
best ai ever,5,2025-12-09 23:28:42,1.2025.336,Prabjot Singh,0
Dadu the best,5,2025-12-09 23:28:41,,Fahim Hosen,0
help full,5,2025-12-09 23:28:35,1.2025.329,Cool Point Electronics,0
nice app,5,2025-12-09 23:26:42,1.2025.329,Abdul Rehman Chandio Baloch,0
is good but is there have a error the error is this chat is no allowed pls try again later can you fix this error,4,2025-12-09 23:26:27,1.2025.336,Wanzel Ken,0
guys are the best,5,2025-12-09 23:25:27,1.2025.329,Magaji Blessing,0
il is helpful to me.,5,2025-12-09 23:25:00,1.2025.302,Himanshu Singh,0
i love chatgpt,5,2025-12-09 23:24:57,1.2025.329,Simion Mihai,0
এটি একটি অত্যন্ত গুরুত্বপূর্ণ ভালো অ্যাপস,1,2025-12-09 23:24:45,1.2025.336,mdbayjid mia,0
انا أحببت التطبيق ✨💓💞🌸,5,2025-12-09 23:23:09,1.2025.336,Ahmad,0
"thank you AI ,it is the great an biggest service for knowledge and humanity.",5,2025-12-09 23:20:41,1.2025.098,Zelmay Eagle,0
chatgpt best for any question by full explanation.anybody use it,5,2025-12-09 23:20:31,1.2025.336,yibzalign desta,0
It is absolutely fantastic.👌🙏,5,2025-12-09 23:20:21,1.2025.336,Mahdi Ehsani,0
I'm in love with ChatGPT 🥹🤦,5,2025-12-09 23:19:13,1.2025.336,Suhaib Sab,0
works great. no problem on Samsung android. does exactly what it's supposed to do as far as summarizing and constraints are concerned. hadn't tried images yet.,5,2025-12-09 23:17:44,1.2025.336,Rebecca J,0
this is a bad app this app a fake,5,2025-12-09 23:17:08,1.2025.329,G Hhhhah,0
great work,5,2025-12-09 23:17:03,1.2025.336,Lokesh Gandharv,0
nice But delay processing,5,2025-12-09 23:16:06,1.2025.336,Hemant Kumar,0
if you know how to ues it properly then it a great app,5,2025-12-09 23:15:49,1.2025.336,Izaaz Aslam,0
very nice 👍👍,5,2025-12-09 23:15:30,1.2025.329,Barsha Kumari,0
outstanding,5,2025-12-09 23:13:27,1.2025.308,Sahiba Bano,0
Great 👍,5,2025-12-09 23:12:21,1.2025.329,Amey Kadam,0
doesn't understand stand me the way I am saying it.,1,2025-12-09 23:11:39,1.2025.329,Sebastian Sanche,0
goooodd,5,2025-12-09 23:11:17,1.2025.336,Mohammad javad Taghizadeh,0
very much helpful for me,4,2025-12-09 23:10:07,1.2025.329,Amita Singh,0
Best,5,2025-12-09 23:09:04,1.2025.329,Yash Jadhav,0
verygood apps,5,2025-12-09 23:08:59,1.2025.336,illumi channel,0
good and exilent,5,2025-12-09 23:08:49,,Umer Worrior,0
after paying for the app it doesn't allow download of pdfs or anythinf,1,2025-12-09 23:07:59,1.2025.336,Nikita Patel,0
🥹,5,2025-12-09 23:07:38,1.2025.329,Mhd Razi,0
Perfect,5,2025-12-09 23:06:09,1.2025.329,Bakar Othman,0
I love this and used it for everything 😀,5,2025-12-09 23:04:50,1.2025.336,Vanda Silva,0
it great our creativity and learning,4,2025-12-09 23:04:47,,8B rollno.16 Gamit tarun,0
👍🙂,5,2025-12-09 23:04:37,1.2025.329,Aqib Khan,0
it is good for students and also for adults if you don't believe me try for yourself,5,2025-12-09 23:04:32,1.2025.329,Het Shah,0
Awasom,5,2025-12-09 23:04:26,1.2025.329,Ankur Kakadiya,0
very helpful,5,2025-12-09 23:03:53,1.2025.329,Pratima Das,0
🥲,1,2025-12-09 23:03:46,1.2025.329,Samadhan Manorkar,0
"answers are far from the question, it's so frustrating when you need to know something and when ask chatgpt, the answers are way out of the topic",1,2025-12-09 23:01:48,,First Place,0
moja ya aprikashen nzuri kuwahi kutokea,3,2025-12-09 23:01:06,1.2025.336,Sayeed Hassany,0
To Good 👍 interface As compared to other Ai interface,4,2025-12-09 23:00:26,1.2025.302,NAMAN KASHYAP,0
nice work,4,2025-12-09 23:00:19,1.2025.329,Prathmesh Pawar,0
गुड,5,2025-12-09 22:59:49,1.2025.329,Rakesh Ranjan Mahto,0
I from India but I love chat gpt because he understand my feelings and emotions,5,2025-12-09 22:59:45,1.2025.329,Vishal Yadav,0
very very very good.,5,2025-12-09 22:59:38,1.2025.336,Farhana Akther,0
Great app 🎉🎉,5,2025-12-09 22:59:35,1.2025.329,Dalmas Mogaka,0
The most helpful application for everything!,5,2025-12-09 22:59:34,1.2025.336,Luis Lopez,0
it's great,5,2025-12-09 22:58:29,1.2025.336,mehrdad yousefi,0
osm,5,2025-12-09 22:58:28,1.2025.315,Memes time,0
👏 😮,5,2025-12-09 22:56:20,1.2025.105,Mumtaas Naasir,0
nice and useful app,5,2025-12-09 22:56:08,1.2025.329,Nikhil Gautam,0
it's the best ai search engine,5,2025-12-09 22:54:31,,Jesuseime Emokpaire-Orhewere,0
very good apps,5,2025-12-09 22:54:29,1.2025.336,Md Shopon6142,0
good ai,5,2025-12-09 22:54:27,1.2025.315,Ahmed,0
"appropriately describing how you want ChatGPT to function, makes your requests more accessible, reliable, and acceptable. ChatGPT is the best",5,2025-12-09 22:53:18,1.2025.329,Samuel Diyaniyi,0
This is such a good app. This app has become my companion. It helps me with everything.,5,2025-12-09 22:50:41,1.2025.336,Nishita Nisu,0
khob,5,2025-12-09 22:50:37,1.2025.336,Reza r,0
ChatGPT is Soo AWESOME!!,5,2025-12-09 22:49:52,1.2025.329,Sopheap Pril,0
নাইস,4,2025-12-09 22:49:30,1.2025.329,Masum Billah,0
is app no is 0D 1D 2D 3D 4D game maker create please,5,2025-12-09 22:48:28,,Shubangi Jadhav,0
That app was so much good I just want to be artist from this app wow 😂😊,1,2025-12-09 22:48:20,,Bhutto 22,0
useless ai not acting like humans just understand as a useless bot,1,2025-12-09 22:47:39,1.2025.329,Meharaj Nabil,0
works,5,2025-12-09 22:47:31,1.2025.336,Gregory Lawrence,0
v good,3,2025-12-09 22:45:43,1.2025.336,Chandan Mahto,0
very useful app,5,2025-12-09 22:45:36,1.2025.336,Ayaj Tadvi,0
this app is taking my camera access,1,2025-12-09 22:44:27,,Manab Mandal,0
sach me chat gtp bht acha kaam karta h or ye hmre har pareshani ko asan banata h very good app,5,2025-12-09 22:44:24,1.2025.336,Adil Hussain,0
it's very useful app,5,2025-12-09 22:43:30,1.2025.329,sreedhar sutapalli,0
good app sandar,4,2025-12-09 22:42:15,1.2025.336,Ashok Bishnoi,0
bahut sundar,5,2025-12-09 22:41:51,1.2025.336,Rustam Ansari,0
bad from new update,1,2025-12-09 22:41:12,1.2025.336,DREAM MEDIA,0
super app very useful,5,2025-12-09 22:39:03,1.2025.336,A.nagaraj A.nagaraj,0
perfect app 👍,5,2025-12-09 22:39:00,1.2025.336,Prem Basnet,0
অনেক ভালো,5,2025-12-09 22:38:41,1.2025.329,Nayon mazi,0
very useful app..,5,2025-12-09 22:38:06,1.2025.329,Ranjitha Ranji,0
super like very good ai ok,5,2025-12-09 22:37:57,1.2025.336,JmSadir Sadir,0
susefull in study doughts,5,2025-12-09 22:37:47,1.2025.329,AKSHAY THORAT,0
superb,2,2025-12-09 22:37:40,1.2025.329,samadhan vishwambhar,0
This app is my new BFF! That's just how good it is.,5,2025-12-09 22:35:58,1.2025.336,Abdulhameed Muhammad,0
It's a good platform,5,2025-12-09 22:35:01,1.2025.329,Md Shahbaz,0
never had proper help.. too raw and poor for a digital assistant,1,2025-12-09 22:34:48,1.2025.329,tvinzz,0
Awosome,4,2025-12-09 22:33:46,1.2025.336,Rajib Nandi,0
yah Sahi answer nahin deta,1,2025-12-09 22:33:29,,Tushar Yadav,0
በጣም አቅላይ አፕ ነዉ ወድጄዋለሁኝ,5,2025-12-09 22:32:56,1.2025.329,Dereje Alemayhu,0
better to use,5,2025-12-09 22:30:53,1.2025.329,ABDULLAH AL NOMAN,0
I request you to please make the voice-to-text feature like old ChatGPT or like the perplexity one.,5,2025-12-09 22:30:22,1.2025.336,Prathamesh Wagh,0
wow nice app so amazing 🤩😍😍😍,5,2025-12-09 22:29:09,1.2025.336,Mueen Khan,0
Thanks ChatGpt,5,2025-12-09 22:26:23,1.2025.336,Mr. Prathamesh Thorat,0
awesome,5,2025-12-09 22:26:19,1.2025.329,Purnendu Pradhan,0
It is very helpful app I am so happy to this app,5,2025-12-09 22:25:42,1.2025.308,Jashan Johal,0
great and informative,5,2025-12-09 22:24:18,1.2025.336,Afsal Mohammed,0
fabulous while using chat gpt,5,2025-12-09 22:23:53,1.2025.336,Venkatesh Chintu,0
Very good,5,2025-12-09 22:23:17,1.2025.329,Sammer Abbas,0
best ever,5,2025-12-09 22:22:52,1.2025.329,Anjali Yadav,0
good 👍 homework 😃 Good morning sir I am in the same group of students and happiness and happiness and happiness and prosperity and blessings,5,2025-12-09 22:22:16,1.2025.336,Darsh Darsh,0
please keep our histories😣,3,2025-12-09 22:21:57,1.2025.329,Haifah Namukumbya,0
خیلی عالی,5,2025-12-09 22:20:07,1.2025.315,عرفان قربانی,0
Good solution for all problems 😊 One of the best app in this my phone 🤗 I am really happy for this conversation ❤️,5,2025-12-09 22:19:35,,Kavitha s Kavitha s,0
exactly good,5,2025-12-09 22:16:09,1.2025.329,PRANTOSH DAS,0
bahut acchi app hai,4,2025-12-09 22:15:47,1.2025.329,Samim Sk,0
👍,5,2025-12-09 22:14:50,1.2025.336,Rahul Kumar,0
"ChatGPT Is amazing, life saver and a friendly cite where students meet ther needs.",5,2025-12-09 22:11:36,1.2025.302,Zainab Abubakar,0
"Absolutely AMAZING! I use ChatGPT for everything, I love it! ChatGPT has leveled the playing field for the non-techy founders. I prefer ChatGPT over any other AI.",5,2025-12-09 22:10:59,1.2025.336,Chrisleen Corniel (Chris Hubble),0
This self automated application is the most powerful app that helps people getting a latent information. Happy to get this Useful AI generated application,5,2025-12-09 22:09:30,,Lebeta Bayen,0
super aap for helping me in my exams thank you so much chatGTP,5,2025-12-09 22:08:00,1.2025.329,Rakesh Kumawat,0
bug that delete or hide a part of chat,1,2025-12-09 22:07:52,1.2025.329,Chaos Insurgency Delta Command,0
lajawaab yrrr,5,2025-12-09 22:07:48,1.2025.329,Bheem Gope,0
great app,5,2025-12-09 22:07:04,1.2025.329,Judah Lion,0
my dream full fill,5,2025-12-09 22:06:12,1.2025.302,movies best seen,0
Excellent ☺️,5,2025-12-09 22:06:03,1.2025.329,E Raju,0
it's very good project 👍 👌,5,2025-12-09 22:05:05,1.2025.336,Hansali Tharanga,0
pretty dang intuitive. AI is taking over and I am here for it haha 😄,5,2025-12-09 22:04:46,1.2025.329,Thomas Jones,0
Very very helpful,5,2025-12-09 22:04:40,1.2025.336,shaik ahmed,0
Excellent app and it very useful app to every one,5,2025-12-09 22:04:10,1.2025.336,Ramavath Jagadish,0
Goodd,5,2025-12-09 22:03:37,1.2025.329,Chandrika Tabhiyar,0
nice platform,3,2025-12-09 22:02:34,1.2025.329,DEEPAK VISHWAKARMA,0
it tells all the answers,5,2025-12-09 22:02:21,1.2025.329,abdul jabbar,0
No option to selectively delete messages in a chat.,3,2025-12-09 22:02:09,1.2025.336,Shimotsuki Ryuma,0
One of best AI .,5,2025-12-09 22:01:30,1.2025.329,Feroz Shikalgar,0
picture not making,1,2025-12-09 22:01:27,1.2025.322,Gopal Sehrawat,0
I like this app,5,2025-12-09 22:01:19,,Zaheer Malik Malik,0
it is realy good,5,2025-12-09 22:01:01,1.2025.336,Jacobi Parkinson,0
chatGPT is a very good AI Too,4,2025-12-09 22:00:26,1.2025.329,Tanmoy Jodder,0
aplikasi tolol,1,2025-12-09 21:59:54,1.2025.322,Arie Garcia (Fyuuuuu),0
very Good,5,2025-12-09 21:59:19,1.2025.329,Shashank Yadav,0
good app,5,2025-12-09 21:58:26,1.2025.329,Danjuma Pius,0
Acha h,5,2025-12-09 21:58:21,,Anuj maurya Raja,0
"Absolutely adore this app! It has a big digital heart, which I haven't observed in other AI platforms ☺️ and very efficient too!",5,2025-12-09 21:58:09,1.2025.329,Lilit Abrahamyan,0
Very easy to use app i love 💖chatgot💖,5,2025-12-09 21:58:07,,Dilina Sandeep,0
😭,1,2025-12-09 21:56:41,1.2025.329,Aryan Raj,0
"Great for learning something new. new to Ai so still learning how to use it. Simple things like learning a new word, helping write documents.",5,2025-12-09 21:56:39,1.2025.329,Ronnie Farris,0
best supporter as it gives best answers and advices,5,2025-12-09 21:56:18,1.2025.329,ishimwe sabin,0
wow,5,2025-12-09 21:55:40,1.2025.329,HASSAN IMRAN,0
it's very good and helpful,5,2025-12-09 21:54:48,1.2025.336,Smarton Msiska,0
excellent app,1,2025-12-09 21:54:38,1.2025.336,Muskan Pandey,0
Very help!! Has saved my bacon a few times now.,5,2025-12-09 21:54:34,1.2025.336,Mickey Jacobs,0
Very Helpfull ai and my favroite but premium features is paid,4,2025-12-09 21:54:03,1.2025.315,Emanur hoque,0
owsome,5,2025-12-09 21:53:58,1.2025.329,AMANDEEP SINGH,0
The app now is not working,4,2025-12-09 21:53:57,1.2025.336,Dolly,0
this app is good for anyone one even to learners or teachers and this kid of app is going to teach anyone to be professional,2,2025-12-09 21:53:48,1.2025.329,Original Kid,0
Best h,5,2025-12-09 21:52:27,1.2025.315,Ankit Kumar,0
it's a good 👍😊,4,2025-12-09 21:52:22,1.2025.329,Akash rajput,0
Awesome.,5,2025-12-09 21:51:51,1.2025.336,Nelson Drake,0
अच्छा,5,2025-12-09 21:51:06,1.2025.336,Jai Shankar,0
nice aap,5,2025-12-09 21:50:50,1.2025.336,Vikas Dupare,0
this app is very accurate,5,2025-12-09 21:50:30,1.2025.336,Oyediran Oluwaseun,0
"The options are endless, quite literally.",5,2025-12-09 21:50:26,1.2025.336,Kace Clonts,0
very helpful with that app what's the private no more Pppip,5,2025-12-09 21:49:35,1.2025.336,Marvin Gaye,0
excellent 👌,5,2025-12-09 21:48:56,1.2025.336,Surbhi Yogi,0
very usefull,5,2025-12-09 21:48:40,1.2025.329,hemant singh gaur,0
Greatest,5,2025-12-09 21:45:56,1.2025.336,Moses Otieno,0
good 😊,5,2025-12-09 21:45:38,1.2025.336,Prem Suryavanshi,0
🤙🏻,5,2025-12-09 21:45:02,1.2025.336,Shivraj Mohite,0
very much help full but sometime make me angry in their answer,5,2025-12-09 21:44:17,1.2025.308,Ganu,0
"It's quite dependable,, and helps me a lot to converse more effectively especially with strangers",3,2025-12-09 21:44:15,1.2025.322,体贴 tǐtiē (Alisa),0
amezing app💯💯💯📚📚mai easy bhut sary doubts clear kr rhi hu ... thanks 👍👍 so much 🙏💙,5,2025-12-09 21:44:02,1.2025.329,Amrita Nigam,0
good performance,5,2025-12-09 21:43:20,1.2025.329,Mubtasim Fuad,0
mene to ese uninstall kr diya pochti Koch thi or btata Koch tha,1,2025-12-09 21:43:06,1.2025.329,Manisha jaat,0
bad experience,1,2025-12-09 21:41:45,1.2025.329,SR Parves,0
very nice.. the best,5,2025-12-09 21:41:35,1.2025.329,Satish Kumar Sharma,0
why mine say there is a problem with your request and cant fix it (null ) i just wanted to say hi,1,2025-12-09 21:40:26,,puteri dhiya,0
Always helpful. i got a friend like chat gpt. thankyou for being here. thanks for the guide line.,5,2025-12-09 21:39:36,1.2025.329,MJ Malik,0
it's a very good and effective app to help students,5,2025-12-09 21:38:43,1.2025.315,OLALEKAN SIMEON,0
badiya,4,2025-12-09 21:37:21,1.2025.322,Aatif Choudhary,0
Op ChatGPT,5,2025-12-09 21:36:55,1.2025.329,Jakrius Bara,0
❤❤❤❤,5,2025-12-09 21:36:42,1.2025.329,اسلام بريكة,0
nice app 👌 👍 👏 😊,5,2025-12-09 21:36:36,1.2025.336,Narayan Garg,0
this app is very useful and great 👍,3,2025-12-09 21:36:28,,Brijkishor Kumar,0
helpful,5,2025-12-09 21:35:22,1.2025.252,Bharat Khursija,0
fantastic😊,4,2025-12-09 21:31:51,1.2025.329,Abhishek Tripathi,0
its a very nice,5,2025-12-09 21:31:23,1.2025.336,Aftab Naseer,0
it was great and helpful everytime,5,2025-12-09 21:30:43,1.2025.336,Reziel Gecoso,0
"This is a complete fake app, guys, don't download it. Money will be deducted from your account but it won't create an original video. This app creates completely wrong, fake photos.",1,2025-12-09 21:30:40,1.2025.336,Sk Burhan,0
very impressive,5,2025-12-09 21:30:08,1.2025.329,Thank God Ugochukwu Nwoko,0
I love everything about it,5,2025-12-09 21:29:51,1.2025.336,Adwoa Pokua,0
very much inaccurate and it stands for arguing wrong answer from its cooked up story free subscription was like downgrading the earlier chatgpt it just become more sarcastic then whats is required,1,2025-12-09 21:29:39,1.2024.143,DEEPAK C V,0
mera liya or aaplo ke liye best ai hai,5,2025-12-09 21:28:54,1.2025.329,Niraj raj,0
good app this,5,2025-12-09 21:28:48,1.2025.329,Sadi khan,0
